"Sessione";"Elezione";"Provincia";"Comune";"Sezione";"Zona";"CollCam";"CollSen";"CollPro";"Elettori";"Votanti";"Validi";"Non validi";"POPOLARI PER L'ITALIA";"+EUROPA - ITALIA IN COMUNE - P";"PARTITO COMUNISTA";"POPOLO DELLA FAMIGLIA - ALTERN";"PARTITO PIRATA";"EUROPA VERDE";"LA SINISTRA";"FORZA ITALIA";"FRATELLI D'ITALIA";"MOVIMENTO 5 STELLE";"CASAPOUND ITALIA - DESTRE UNIT";"LEGA SALVINI PREMIER";"FORZA NUOVA";"PARTITO ANIMALISTA";"PARTITO DEMOCRATICO";"AUTONOMIE PER L'EUROPA"
26/05/2019;1;"Milano";"Milano";370;8;;;;693;438;434;4;1;24;7;0;1;21;25;28;21;34;3;82;0;4;182;1
26/05/2019;1;"Milano";"Milano";371;6;;;;573;287;280;7;0;17;0;0;0;8;6;31;21;22;0;78;0;1;96;0
26/05/2019;1;"Milano";"Milano";372;7;;;;966;648;640;8;4;49;0;0;3;25;8;65;19;24;1;105;0;0;336;1
26/05/2019;1;"Milano";"Milano";373;1;;;;724;442;441;1;1;34;2;1;0;16;6;63;26;9;0;89;0;2;192;0
26/05/2019;1;"Milano";"Milano";375;7;;;;981;595;591;4;4;49;1;0;0;14;5;69;41;33;1;116;0;3;255;0
26/05/2019;1;"Milano";"Milano";377;8;;;;482;315;307;8;0;11;2;0;0;8;6;18;18;36;1;114;0;0;93;0
26/05/2019;1;"Milano";"Milano";378;7;;;;745;464;459;5;1;41;2;0;1;9;5;53;27;21;1;98;0;3;197;0
26/05/2019;1;"Milano";"Milano";379;7;;;;895;588;581;7;1;49;1;1;1;16;6;81;36;33;0;108;0;4;243;1
26/05/2019;1;"Milano";"Milano";381;7;;;;812;478;472;6;0;44;0;0;1;11;4;67;25;27;4;102;0;3;184;0
26/05/2019;1;"Milano";"Milano";383;5;;;;1032;578;563;15;1;23;7;0;0;18;17;27;25;86;0;196;0;4;156;3
26/05/2019;1;"Milano";"Milano";384;7;;;;876;541;539;2;0;37;3;1;0;18;6;50;37;44;1;118;0;3;221;0
26/05/2019;1;"Milano";"Milano";385;6;;;;699;389;384;5;1;26;0;0;0;11;7;35;24;25;0;96;0;2;157;0
26/05/2019;1;"Milano";"Milano";386;7;;;;983;620;612;8;2;42;2;2;2;15;12;58;32;35;1;145;0;1;263;0
26/05/2019;1;"Milano";"Milano";387;7;;;;794;519;517;2;0;42;6;0;1;22;7;61;26;21;0;103;1;5;221;1
26/05/2019;1;"Milano";"Milano";388;7;;;;941;593;585;8;2;49;4;1;0;23;12;54;29;31;0;104;0;1;274;1
26/05/2019;1;"Milano";"Milano";389;7;;;;909;624;617;7;3;57;0;1;2;16;5;96;38;24;0;117;0;2;256;0
26/05/2019;1;"Milano";"Milano";391;7;;;;971;613;610;3;5;47;1;2;2;13;5;87;39;21;0;141;0;1;245;1
26/05/2019;1;"Milano";"Milano";393;7;;;;899;553;548;5;0;45;2;1;0;15;8;91;32;24;0;155;0;1;173;1
26/05/2019;1;"Milano";"Milano";394;7;;;;570;320;313;7;0;13;1;0;1;9;10;22;21;31;0;75;0;2;128;0
26/05/2019;1;"Milano";"Milano";396;2;;;;738;458;451;7;3;15;2;1;2;15;17;32;15;56;1;132;0;2;158;0
26/05/2019;1;"Milano";"Milano";397;8;;;;881;588;580;8;5;48;0;0;3;8;5;73;29;14;1;104;0;1;289;0
26/05/2019;1;"Milano";"Milano";399;8;;;;916;596;592;4;1;47;1;0;0;17;7;78;43;14;0;120;0;2;260;2
26/05/2019;1;"Milano";"Milano";400;8;;;;1097;698;692;6;6;62;1;1;1;19;7;114;33;25;0;153;0;1;268;1
26/05/2019;1;"Milano";"Milano";401;7;;;;946;602;596;6;0;44;3;1;2;22;7;88;32;25;1;128;0;2;240;1
26/05/2019;1;"Milano";"Milano";402;1;;;;726;157;156;1;1;15;0;0;0;1;1;19;9;6;0;40;0;0;64;0
26/05/2019;1;"Milano";"Milano";403;7;;;;816;485;481;4;2;49;0;0;0;18;10;51;24;25;3;111;1;2;185;0
26/05/2019;1;"Milano";"Milano";406;7;;;;996;655;643;12;1;36;1;2;4;17;9;76;50;23;0;147;0;4;273;0
26/05/2019;1;"Milano";"Milano";407;7;;;;792;521;511;10;2;39;1;2;1;16;10;68;32;29;0;108;0;1;202;0
26/05/2019;1;"Milano";"Milano";409;7;;;;822;525;522;3;1;41;0;0;1;15;8;57;32;21;0;126;0;2;218;0
26/05/2019;1;"Milano";"Milano";411;7;;;;771;426;420;6;0;25;1;1;1;7;7;52;29;27;0;108;1;1;160;0
26/05/2019;1;"Milano";"Milano";414;7;;;;852;495;492;3;2;33;2;2;0;15;13;57;22;30;3;138;1;2;172;0
26/05/2019;1;"Milano";"Milano";415;1;;;;797;508;501;7;1;46;0;1;0;13;5;70;33;16;0;105;0;2;209;0
26/05/2019;1;"Milano";"Milano";416;1;;;;734;374;373;1;0;40;2;1;0;17;5;23;21;25;0;57;0;0;182;0
26/05/2019;1;"Milano";"Milano";417;1;;;;825;458;447;11;5;32;1;2;2;16;13;29;26;21;0;93;1;3;202;1
26/05/2019;1;"Milano";"Milano";418;1;;;;942;585;581;4;0;54;1;1;1;24;3;88;27;10;2;96;0;4;270;0
26/05/2019;1;"Milano";"Milano";422;1;;;;680;373;370;3;0;38;1;0;1;9;7;53;29;20;3;75;0;1;133;0
26/05/2019;1;"Milano";"Milano";423;8;;;;1032;707;696;11;3;62;1;0;1;15;4;96;54;24;0;163;0;1;271;1
26/05/2019;1;"Milano";"Milano";424;1;;;;640;414;403;11;3;29;0;0;0;11;3;57;36;4;0;67;0;0;193;0
26/05/2019;1;"Milano";"Milano";425;8;;;;1081;722;716;6;2;60;0;0;0;19;7;114;51;27;1;162;0;7;266;0
26/05/2019;1;"Milano";"Milano";426;8;;;;576;262;260;2;1;23;1;1;1;8;6;25;9;10;0;66;0;0;109;0
26/05/2019;1;"Milano";"Milano";427;1;;;;868;570;564;6;2;46;2;0;2;20;5;99;37;27;0;128;0;4;192;0
26/05/2019;1;"Milano";"Milano";428;8;;;;715;422;411;11;1;29;3;1;0;21;11;30;14;27;0;99;0;0;175;0
26/05/2019;1;"Milano";"Milano";430;8;;;;768;463;460;3;0;20;1;0;0;23;11;33;29;42;0;108;1;2;189;1
26/05/2019;1;"Milano";"Milano";431;8;;;;803;499;494;5;1;32;3;0;0;9;6;62;25;27;0;106;1;5;216;1
26/05/2019;1;"Milano";"Milano";433;7;;;;964;605;599;6;0;49;2;1;2;18;16;82;46;22;1;119;1;3;237;0
26/05/2019;1;"Milano";"Milano";435;8;;;;964;565;562;3;0;44;0;2;1;21;7;75;29;37;0;114;0;2;230;0
26/05/2019;1;"Milano";"Milano";436;7;;;;686;384;379;5;4;37;1;1;1;15;2;49;26;14;0;74;1;1;153;0
26/05/2019;1;"Milano";"Milano";437;7;;;;827;482;477;5;1;35;1;0;0;7;2;68;31;14;0;103;0;2;213;0
26/05/2019;1;"Milano";"Milano";438;7;;;;924;554;548;6;2;40;6;3;0;12;8;56;30;51;2;143;2;2;191;0
26/05/2019;1;"Milano";"Milano";439;8;;;;874;531;526;5;0;36;2;1;1;17;14;71;27;23;0;115;0;1;215;3
26/05/2019;1;"Milano";"Milano";440;8;;;;628;334;331;3;3;28;0;0;0;11;2;39;16;19;2;75;0;1;135;0
26/05/2019;1;"Milano";"Milano";441;8;;;;995;660;653;7;4;60;1;2;2;22;14;80;42;30;1;166;0;2;226;1
26/05/2019;1;"Milano";"Milano";444;8;;;;759;508;507;1;0;35;3;0;1;13;10;41;27;46;0;128;0;2;201;0
26/05/2019;1;"Milano";"Milano";446;8;;;;805;524;514;10;0;36;0;0;2;11;10;69;35;31;0;106;0;0;213;1
26/05/2019;1;"Milano";"Milano";447;8;;;;660;269;267;2;0;15;0;0;0;11;8;23;17;22;1;72;0;3;95;0
26/05/2019;1;"Milano";"Milano";449;8;;;;744;512;507;5;1;43;2;2;0;11;3;84;25;14;0;127;1;0;194;0
26/05/2019;1;"Milano";"Milano";450;8;;;;905;567;561;6;15;32;2;1;1;13;7;58;35;29;3;129;1;0;232;3
26/05/2019;1;"Milano";"Milano";451;8;;;;823;273;266;7;1;24;0;1;0;2;5;40;20;18;0;55;0;1;99;0
26/05/2019;1;"Milano";"Milano";452;8;;;;813;472;464;8;7;29;0;1;0;11;10;36;21;35;2;102;0;0;208;2
26/05/2019;1;"Milano";"Milano";453;6;;;;683;477;464;13;3;15;3;6;2;12;12;69;27;50;0;115;0;2;148;0
26/05/2019;1;"Milano";"Milano";454;8;;;;762;494;489;5;0;33;1;1;2;24;8;48;30;27;2;103;0;2;208;0
26/05/2019;1;"Milano";"Milano";457;8;;;;1068;698;691;7;2;46;1;1;0;19;8;90;43;36;3;138;1;2;300;1
26/05/2019;1;"Milano";"Milano";458;8;;;;836;525;519;6;2;36;2;2;3;13;12;57;27;33;1;129;0;2;199;1
26/05/2019;1;"Milano";"Milano";460;6;;;;699;392;387;5;0;19;4;2;1;4;6;53;12;37;2;145;2;1;98;1
